Typ;Name;Artikel_Nr;Beschreibung;Einheit;EK_Preis;VK_Preis_1;VK_Preis_2;VK_Preis_3;Subunternehmer
Artikel;Notdienst wie folgt für 1 Mitarbeiter;ArtNr2640;Notdienst wie folgt für 1 Mitarbeiter  - Werkzeug auftragsspezifisch  zusammenstellen - Einsatzfahrzeug aufgaben spezifisch  packen - Anfahrtzeit zum Einsatzort.  Einrüstzeit - Schadenanalyse & Aufmaß Reparaturzeit  vor Ort  - Sicherung des Elements Reparatur  nicht komplett möglich. - Werkzeug Rückbau und in das  Lieferfahrzeug verbringen - Abnahmeprotokoll erstellen und  unterschreiben lassen. ;Stueck;0,0;1200,0;0;0;Nein
Artikel;Hebeschiebe-Mittelwagen liefern;ArtNr2641;zur besseren Lastenverteilung (Längere Standezeiten bis zu 20 Jahre  länger) Zusätzlich Hebeschiebe-Mittelwagen  liefern. ;Stk.;250,0;312,5;0;0;Nein
Artikel;RC2 Getriebe Terrassen/Balkontüren;;RC2 Getriebe inkl. aller erforderlichen  Bauteile liefern.  Bauteilelieferung von: Umlaufendes  Drehkippgetriebe in RC2 Qualität inkl.  Ecklager, Scherenlager, Griffgetriebe;Stk;450,0;517,5;562,5;630,0;Nein
Artikel;RC2 Getriebe Fenster bis 1000mm;;RC2 Getriebe inkl. aller erforderlichen  Bauteile liefern.  Bauteilelieferung von: Umlaufendes  Drehkippgetriebe in RC2 Qualität inkl.  Ecklager, Scherenlager, Griffgetriebe;Stk;180,0;207,0;225,0;252,0;Nein
Artikel;KFZ Vorhaltekosten für Werkstattwagen;;;Stk;0,0;48,5;0,0;0,0;Nein
Artikel;PSK Laufwagen tauschen und Getriebeteile;;PSK Laufwagen tauschen und  Getriebeteile warten bis 1500  x 2200 mm Fachgerechte Umrüstung des  Laufwagenelement  - Parallelschiebekippelement demontieren - Umlaufendes Falzbandgetriebe,  Rahmenfalz reinigen und Laufwagen  demontieren.  - Altes Falzbandgetriebe demontieren,  auf Schäden prüfen, reinigen, Fetten  und wieder montieren, anschließend  fachgerechte montage der Laufwagen.   - Alles fachgerecht montieren,  einstellen und auf Gängigkeit  überprüfen.;Stk;320,0;480,0;0,0;0,0;Nein
Artikel;Elementdichtung montieren;;Elementdichtungen fachgerecht  montieren. auf Gehrung geschnitten und  verschweiß/verklebt.;lfm;11,0;13,56;16,5;22,0;Nein
Artikel;PSK Getriebset umlaufend liefern;;PSK-Kippschiebelementbeschlag umlaufend passend liefern.;Stk;280,0;511,0;650,0;750,0;Nein
Artikel;PSK-Laufwagen Set liefern;;PSK-Laufwagen als Kpl-Set inkl.  Abdeckung liefern;Stk;0,0;355,0;455,0;850,0;Nein
Artikel;PSK- Element Umrüstung 2200X150;;Umrüstung Neu PSK- Element 2200X150 mm  Fachgerechte Umrüstung PSK- Element Kippschiebeelement wie folgt reparieren: - Parallelschiebekippelement demontieren,umlaufendes Falzbandgetriebe und Schiebeschlitten und zugehörige Rahmenbauteile demontieren - Rahmenfalz reinigen und für den  Einbau von neuen Griffsitz-Flügelfalzband und Schiebeschlitten vorbereiten - Anschließend zuschneiden und  fachgerechte Montage von neuem  Kippschiebeelementbeschlag - Neue Zuhalterungen an Türrahmen fachgerecht montieren - Alles fachgerecht einstellen und auf Gängigkeit überprüfen.;Stk;320,0;480,0;846,02;1100,0;Nein
Artikel;Hebeschiebe-Mittelwagen liefern;;zur besseren Lastenverteilung (Längere Standezeiten bis zu 20 Jahre  länger) Zusätzlich Hebeschiebe-Mittelwagen  liefern.;Stk;330,0;379,5;412,5;462,0;Nein
Artikel;Materialkostenabrechnung nach verbrauch;;Materialkosten die während der  Reparatur ermittelt werden und  notwendig sind, werden nach Verbrauch  abgerechnet.;Stk;0,0;0,0;0,0;0,0;Nein
Artikel;Absenkbare Türbodenschiene;;Absenkbare Türbodenschiene  unten in die Tür einsetzen:  Tür demontieren und auf Böcke  vertragen, Nut einfräsen, Absenkbare  Türbodenschiene fachgerecht montieren Tür wieder einhängen und Bodenschiene  einstellen. Alles in fis und fertiger  arbeit.;Stk;0,0;89,0;0,0;0,0;Nein
Artikel;Panzerriegel Abus;;Panzerriegel Fabrikat [Hersteller, z.B. ABUS PR1800] inkl. Schließzylinder [Details, z.B. mit Not- und Gefahrenfunktion] und Zubehör;Stk;0,0;600,0;0,0;0,0;Nein
Artikel;Kleinmaterial (Schrauben, Dübel, etc.);;Kleinmaterial (Schrauben, Dübel, etc.);Stk;0,0;0,0;0,0;0,0;Nein
Artikel;Montage des Panzerriegels;;Fachgerechte Montage des Panzerriegels an [Türtyp, z.B. Holztür, Wohnungseingangstür] gemäß Herstellervorgaben;Std;68,5;86,5;0,0;0,0;Nein
Artikel;Funktionsprüfung und Einweisung;;Funktionsprüfung und Einweisung des Kunden;Stk;0,0;12,5;0,0;0,0;Nein
Artikel;Entsorgung des Verpackungsmaterials;;Entsorgung des Verpackungsmaterials;Stk;0,0;0,0;0,0;0,0;Nein
Artikel;Anfahrt und Baustelleneinrichtung;;Anfahrt und Baustelleneinrichtung;Stk;0,0;48,5;0,0;0,0;Nein
Artikel;Anfahrtskosten 1 Mitarbeiter;;Anfahrtzeit innerhalb 5 Km in Hamburg Zeitanteilig 1 x Mitarbeiter a 38,50;Psh;0,0;34,25;0,0;0,0;Nein
Artikel;Anfahrtskosten 2 Mitarbeiter;;Anfahrtzeit innerhalb 5 Km in Hamburg Zeitanteilig 2 x Mitarbeiter a 34,25;Psh;0,0;68,5;0,0;0,0;Nein
