Import_JA;Typ;Kurztext;Artikel_Nr;Einheit;EK_Preis;VK_Preis_1;VK_Preis_2;VK_Preis_3;Gewerk;Lieferant;Langtext
X;Personal;Gesellen/Facharbeiter/lohn;;Std;68,50;71,93;75,35;85,63;;Graupner;Gesellen/Facharbeiter/lohn  Montagelohn Gesellenlohn. Abrechnung nach Zeitaufwand.
X;Leistung;±1± Mitarbeiter 2 STD. Notdienst;;Stk;80,00;120,00;0,00;0,00;Tischler;Tischlerei R.Graupner;Notdienst wie folgt für 1 Mitarbeiter  - Werkzeug auftragsspezifisch  zusammenstellen - Einsatzfahrzeug aufgaben spezifisch  packen - Anfahrtzeit zum Einsatzort.  Einrüstzeit - Schadenanalyse & Aufmaß Reparaturzeit  vor Ort  - Sicherung des Elements Reparatur  nicht komplett möglich. - Werkzeug Rückbau und in das  Lieferfahrzeug verbringen - Abnahmeprotokoll erstellen und  unterschreiben lassen.
X;Personal;Zusätzliche Mitarbeiter Montage;;Stk;;180,00;;;Tischler;Tischlerei R.Graupner;Zusätzliche Mitarbeiter Demontage und wieder Montage:   Zusätzliche Mitarbeiter für notwendige  Tragearbeiten bei Schwerlastfenster -  Schiebetüren.
X;Personal;Stundensatz per Zeitaufwand;;Std;86,00;111,00;116,10;120,40;Tischler;Tischlerei R.Graupner;Stundensatz welche für evtl. notwendige  Arbeiten ausgeführt werden müssen und  per Zeitaufwand abgerechnet werden  (kann vorher nicht erfasst da erst  Vorort endstehend)
X;Leistung;HS-Element Holz BxD 1,8/45mm rep.;;Stk;2200,00;2530,00;2750,00;3080,00;HS-Typ Holz HxBxD=ca.2,2x1,8x0,45;Tischlerei R.Graupner;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit
X;Leistung;HS-Element Holz BxD 2,5/45mm rep.;;Stk;2500,00;2875,00;3125,00;3500,00;HS-Typ Holz HxBxD=ca.2,2x2,5x0,45;Tischlerei R.Graupner;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit
X;Leistung;Elementdichtungen liefern;;lfm;5,50;19,74;21,21;28,29;Dichtungen;GFA;Elementhochleistungsdichtung passend  liefern.  Unsere Fenster und  Türendichtungen haben hervorragende  Eigenschaften wie folgt: -  Thermoplastischen Elastomer (TPE- S),Härte nach ShoreA 30 bis A 80+/-5. -  Hervorragende UV-Ozon-und  Witterungsbeständigkeit, - keine  Rußauswaschungen , - Silikon-und  halogenfrei . - Gute Beständigkeit  gegen unverdünnte Laugen und Säuren  sowie Salzlösungen aller Art. -  Einsatzbereich von -40 Grad bis +110  Grad. Abrechnung nach Verbrauch.
X;Leistung;RC2 Umbau Fenster bis 1000 mm;;Stk;355,00;408,25;443,75;497,00;Tischler;Tischlerei R.Graupner;Dreh-Kipp Terrassenelement einflügelig  Dreh-Kipp bis 1000x1000 mm wie folgt  auf RC2 umbauen: Raum: Ebene: Beschläge  ermitteln und Bestellung. Elementflügel  fachgerecht demontieren. Elementgriff,  umlaufende Falzbandgetriebe und alle  ergänzende, zugehörige Rahmenbauteile  demontieren. Rahmenfalz reinigen und  für den Einbau von neuen Einbruchschutz  Beschlägen wie Flügelfalzbänder mit  Pilzkopfverschluss vorbereiten,  anschließend zuschneiden und Montage  von Eckumlenkung, Ecklager und allen  Zuhalterungen, Getriebe und  Scherengetriebe. Alles einstellen und  auf Gängigkeit überprüfen.
X;Leistung;Einrüstkosten/Sicherheitsrelevant;;Stk;21,00;42,00;52,50;63,00;;Tischlerei R.Graupner;Einrüstkosten/Sicherheitsrelevante  Maßnahmen für Aufstellung von  Abdeckmaterial, sicherheitsrelevanten  Maßnahmen Abrechnung nach Anzahl  Fenster, Türen, Objekte.
X;Leistung;Gesellenlohn welche für Wartungen,;;STD.;50,00;67,50;73,75;81,00;Tischler;Tischlerei R.Graupner;Gesellenlohn welche für Wartungen,  Abdichten und evtl. Notwendige Arbeiten  ausgeführt werden müssen und per  Zeitaufwand abgerechnet wird.
