Import_JA;Typ;Kurztext;Artikel_Nr;Einheit;EK_Preis;VK_Preis_1;VK_Preis_2;VK_Preis_3;Gewerk;Lieferant;Langtext
X;Artikel;RC2 Getriebe Terrassen/Balkontüren;;Stk;450,00;517,50;562,50;630,00;;;RC2 Getriebe inkl. aller erforderlichen  Bauteile liefern.  Bauteilelieferung von: Umlaufendes  Drehkippgetriebe in RC2 Qualität inkl.  Ecklager, Scherenlager, Griffgetriebe
X;Artikel;RC2 Getriebe Fenster bis 1000mm;;Stk;180,00;207,00;225,00;252,00;;;RC2 Getriebe inkl. aller erforderlichen  Bauteile liefern.  Bauteilelieferung von: Umlaufendes  Drehkippgetriebe in RC2 Qualität inkl.  Ecklager, Scherenlager, Griffgetriebe
X;Artikel;KFZ Vorhaltekosten für Werkstattwagen;;Stk;;48,50;;;;Tischlerei R.Graupner;
X;Artikel;PSK Laufwagen tauschen und Getriebeteile;;Stk;320,00;480,00;;;Tischler;Tischlerei R.Graupner;PSK Laufwagen tauschen und  Getriebeteile warten bis 1500  x 2200 mm Fachgerechte Umrüstung des  Laufwagenelement  - Parallelschiebekippelement demontieren - Umlaufendes Falzbandgetriebe,  Rahmenfalz reinigen und Laufwagen  demontieren.  - Altes Falzbandgetriebe demontieren,  auf Schäden prüfen, reinigen, Fetten  und wieder montieren, anschließend  fachgerechte montage der Laufwagen.   - Alles fachgerecht montieren,  einstellen und auf Gängigkeit  überprüfen.
X;Artikel;Elementdichtung montieren;;lfm;11,00;13,56;16,50;22,00;Tischler;GFA;Elementdichtungen fachgerecht  montieren. auf Gehrung geschnitten und  verschweiß/verklebt.
X;Artikel;PSK Getriebset umlaufend liefern;;Stk;280,00;511,00;650,00;750,00;;Tooler;PSK-Kippschiebelementbeschlag umlaufend passend liefern.
X;Artikel;PSK-Laufwagen Set liefern;;Stk;;355,00;455,00;850,00;;Tooler;PSK-Laufwagen als Kpl-Set inkl.  Abdeckung liefern
X;Artikel;PSK- Element Umrüstung 2200X150;;Stk;320,00;480,00;846,02;1100,00;Tischler;Tischlerei R.Graupner;Umrüstung Neu PSK- Element 2200X150 mm  Fachgerechte Umrüstung PSK- Element Kippschiebeelement wie folgt reparieren: - Parallelschiebekippelement demontieren,umlaufendes Falzbandgetriebe und Schiebeschlitten und zugehörige Rahmenbauteile demontieren - Rahmenfalz reinigen und für den  Einbau von neuen Griffsitz-Flügelfalzband und Schiebeschlitten vorbereiten - Anschließend zuschneiden und  fachgerechte Montage von neuem  Kippschiebeelementbeschlag - Neue Zuhalterungen an Türrahmen fachgerecht montieren - Alles fachgerecht einstellen und auf Gängigkeit überprüfen.
X;Artikel;Hebeschiebe-Mittelwagen liefern;;Stk;330,00;379,50;412,50;462,00;;;zur besseren Lastenverteilung (Längere Standezeiten bis zu 20 Jahre  länger) Zusätzlich Hebeschiebe-Mittelwagen  liefern.
X;Artikel;Materialkostenabrechnung nach verbrauch;;Stk;;;;;Tischler;Tischlerei R.Graupner;Materialkosten die während der  Reparatur ermittelt werden und  notwendig sind, werden nach Verbrauch  abgerechnet.
X;Artikel;Absenkbare Türbodenschiene;;Stk;;89,00;;;;;Absenkbare Türbodenschiene  unten in die Tür einsetzen:  Tür demontieren und auf Böcke  vertragen, Nut einfräsen, Absenkbare  Türbodenschiene fachgerecht montieren Tür wieder einhängen und Bodenschiene  einstellen. Alles in fis und fertiger  arbeit.
X;Artikel;Panzerriegel Abus;;Stk;;600,00;;;Türenabsicherung Einbruchschutz;;Panzerriegel Fabrikat [Hersteller, z.B. ABUS PR1800] inkl. Schließzylinder [Details, z.B. mit Not- und Gefahrenfunktion] und Zubehör
X;Artikel;Kleinmaterial (Schrauben, Dübel, etc.);;Stk;;;;;Türenabsicherung Einbruchschutz;;Kleinmaterial (Schrauben, Dübel, etc.)
X;Artikel;Montage des Panzerriegels;;Std;68,50;86,50;;;Türenabsicherung Einbruchschutz;;Fachgerechte Montage des Panzerriegels an [Türtyp, z.B. Holztür, Wohnungseingangstür] gemäß Herstellervorgaben
X;Artikel;Funktionsprüfung und Einweisung;;Stk;;12,50;;;Türenabsicherung Einbruchschutz;;Funktionsprüfung und Einweisung des Kunden
X;Artikel;Entsorgung des Verpackungsmaterials;;Stk;;;;;Türenabsicherung Einbruchschutz;;Entsorgung des Verpackungsmaterials
X;Artikel;Anfahrt und Baustelleneinrichtung;;Stk;;48,50;;;Türenabsicherung Einbruchschutz;;Anfahrt und Baustelleneinrichtung
X;Artikel;Anfahrtskosten 1 Mitarbeiter;;Psh;;34,25;;;;;Anfahrtzeit innerhalb 5 Km in Hamburg Zeitanteilig 1 x Mitarbeiter a 38,50
X;Artikel;Anfahrtskosten 2 Mitarbeiter;;Psh;;68,50;;;;;Anfahrtzeit innerhalb 5 Km in Hamburg Zeitanteilig 2 x Mitarbeiter a 34,25
X;Artikel;Schiebegriff Drehgriff Innen;;Stück;;211,00;;;;;Hebeschiebegriff GU HST-Drehgriff ohne  außen Muschel ohne Pz.
X;Artikel;Belastetes Alteisen entsorgen;;Stk;38,40;42,24;46,08;49,92;;;Belastetes Alteisen, welches  ordnungsgemäß entsorgt werden muss.
X;Artikel;Reparatur / Sicherung Oberlicht;;Stk;317,00;467,00;;;;LV-Übernahme;Ausgeführt wie folgt für 1 Mitarbeiter Dienend zur Schadensfestellung und Sicherung mit anschließender Reparatur Umbau.  - Werkzeug auftragsspezifisch zusammenstellen soweit möglich.  - Einsatzfahrzeug aufgaben spezifisch packen  - Anfahrtzeit zum Einsatzort. Einrüstzeit  - Schadenanalyse & Aufmaß - Material Ermittlung - Sicherung des Elements - Materialeinkauf - Arbeitszeit vor Ort - Werkzeug Rückbau und in das Lieferfahrzeug verbringen.
X;Artikel;Laufwagen Groß;;Stk;120,00;250,00;;;;GU;Laufwagen Groß für Hebschiebetüren
X;Artikel;Türgriff passend erneuern.;;Stk;;158,00;;;;;Vorhandenen Türgriff demontieren und  neuen Griff liefern und montieren
X;Artikel;Psk Griff liefern Hautau / Roto/ GU;;Stk;70,00;91,00;125,00;160,00;Psk;;Die Bauform ist auf den Einsatz in PSK- Elementen abgestimmt und unterstützt  eine zuverlässige Griffbedienung bei  schmalen Profilen. Die Produktvariante  ist geeignet, wenn  ein robuster, langlebiger Griff für  Kunststoff- oder Holzfenster gewünscht  wird.
